study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	72.0	hr		28.09				0.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	72.5	hr		32.06	28.65	3.41		0.5		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	73.0	hr		34.04	30.92	3.12		1.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	73.5	hr		34.89	31.77	3.12		1.5		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	74.0	hr		34.89	31.77	3.12		2.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	75.0	hr		33.76	37.16	3.4		3.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	76.0	hr		33.19	36.31	3.12		4.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	78.0	hr		31.77	34.33	2.56		6.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	82.0	hr		29.79	32.06	2.27		10.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	86.0	hr		28.94	31.77	2.83		14.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	aPTT		plasma	coagulation assay	aPTT_multiED60	96.0	hr		28.09	29.79	1.7		24.0		sec	sec
