study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	72.0	hr		13.86	14.38	0.520000000000001		0.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	72.5	hr		17.24	20.1	2.86		0.5		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	73.0	hr		19.95	22.66	2.71		1.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	73.5	hr		20.93	23.56	2.63		1.5		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	74.0	hr		20.78	23.26	2.48		2.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	75.0	hr		19.8	21.75	1.95		3.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	76.0	hr		18.81	20.62	1.81		4.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	78.0	hr		17.45	18.73	1.28		6.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	82.0	hr		15.48	16.08	0.599999999999998		10.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	86.0	hr		14.72	15.32	0.6		14.0		sec	sec
Parasrampuria2016b		all	23.0	multiED60	prothrombin time		plasma	coagulation assay	PT_multiED60	96.0	hr		13.86	14.53	0.67		24.0		sec	sec
