study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	72.0	hr		13.73				0.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	72.5	hr		17.61	20.45	2.84		0.5		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	73.0	hr		20.82	23.66	2.84		1.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	73.5	hr		21.27	24.03	2.76		1.5		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	74.0	hr		20.75	23.07	2.32		2.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	75.0	hr		19.04	20.76	1.72		3.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	76.0	hr		18.15	19.42	1.27		4.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	78.0	hr		16.96	17.93	0.969999999999999		6.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	82.0	hr		15.33	16.0	0.67		10.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	86.0	hr		14.82	15.27	0.449999999999999		14.0		sec	sec
Parasrampuria2016b		all	24.0	multiRIV20, ED60	prothrombin time		plasma	coagulation assay	PT_multiRIV20, ED60	96.0	hr		14.1	14.63	0.530000000000001		24.0		sec	sec
