study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	72.0	hr		0.14				0.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	72.5	hr		1.35	2.43	1.08		0.5		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	73.0	hr		2.4	1.59	0.81		1.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	73.5	hr		2.75	1.91	0.84		1.5		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	74.0	hr		2.63	1.84	0.79		2.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	75.0	hr		2.29	1.53	0.76		3.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	76.0	hr		1.94	1.34	0.6		4.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	78.0	hr		1.35	0.96	0.39		6.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	82.0	hr		0.66	0.6	0.0600000000000001		10.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	86.0	hr		0.35	0.27	0.08		14.0		IU/mL	IU/mL
Parasrampuria2016b		all	23.0	multiED60	Anti-factor Xa activity		plasma	coagulation assay	Xa_multiED60	96.0	hr		0.11				24.0		IU/mL	IU/mL
