,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
0,25566930,"Pharmacokinetics, safety, and tolerability of edoxaban in end-stage renal disease subjects undergoing haemodialysis.",DA Parasrampuria; T Marbury; N Matsushima; S Chen; PK Wickremasingha; L He; V Dishy; KS Brown,2015,Edoxaban; elimination; haemodialysis; oral factor Xa inhibitor; pharmacokinetics,0.9994165897369385,,
1,25966665,Population pharmacokinetics of edoxaban and its main metabolite in a dedicated renal impairment study.,S Jönsson; US Simonsson; R Miller; MO Karlsson,2015,NONMEM; edoxaban; metabolite; pharmacokinetic; renal impairment,0.9988767504692078,,
2,26620048,"Pharmacokinetics and Pharmacodynamics of Edoxaban, a Non-Vitamin K Antagonist Oral Anticoagulant that Inhibits Clotting Factor Xa.",DA Parasrampuria; KE Truitt,2016,,0.9984855055809021,PMC4875962,
3,22628060,"Edoxaban administration following enoxaparin: a pharmacodynamic, pharmacokinetic, and tolerability assessment in human subjects.",H Zahir; N Matsushima; AB Halim; L He; G Zhang; F Lee; V Worland; J Mendell,2012,,0.9975997805595398,,
4,20081065,"Clinical safety, tolerability, pharmacokinetics, and pharmacodynamics of the novel factor Xa inhibitor edoxaban in healthy volunteers.",K Ogata; J Mendell-Harary; M Tachibana; H Masumoto; T Oguma; M Kojima; S Kunitada,2010,,0.9975436329841614,,
5,22936313,"Pharmacokinetics, biotransformation, and mass balance of edoxaban, a selective, direct factor Xa inhibitor, in humans.",MS Bathala; H Masumoto; T Oguma; L He; C Lowrie; J Mendell,2012,,0.9975128173828125,,
6,27530188,"Edoxaban drug-drug interactions with ketoconazole, erythromycin, and cyclosporine.",DA Parasrampuria; J Mendell; M Shi; N Matsushima; H Zahir; K Truitt,2016,CYP3A4; P-glycoprotein; drug interactions; edoxaban; pharmacokinetics,0.9974470138549805,PMC5099547,
7,27560456,A single-dose study investigating the pharmacokinetics and pharmacodynamics of edoxaban at 30-90 mg in healthy Chinese volunteers.,X Chen; D Liu; Y Wu; H Song; Y Liu; J Jiang; P Hu,2017,Chinese; edoxaban; pharmacodynamics; pharmacokinetics; safety,0.9973003268241882,,
8,28512699,An Open-Label Crossover Study of the Pharmacokinetics of the 60-mg Edoxaban Tablet Crushed and Administered Either by a Nasogastric Tube or in Apple Puree in Healthy Adults.,K Duchin; A Duggal; GJ Atiee; M Kidokoro; T Takatani; NL Shipitofsky; L He; G Zhang; T Kakkar,2018,,0.997184693813324,PMC5784001,
9,28025966,A single and multiple postprandial dose study investigating the pharmacokinetics and pharmacodynamics of edoxaban in healthy Chinese volunteers .,X Chen; D Liu; Y Wu; Y Liu; H Song; J Jiang; P Hu,2017,,0.9970816969871521,,
10,25168620,Edoxaban population pharmacokinetics and exposure-response analysis in patients with non-valvular atrial fibrillation.,OQ Yin; K Tetsuya; R Miller,2014,,0.9967232346534729,,
11,23064240,Pharmacokinetics of the direct factor Xa inhibitor edoxaban and digoxin administered alone and in combination.,J Mendell; RJ Noveck; M Shi,2012,,0.9962875843048096,,
12,34366151,Pharmacokinetics of Direct Oral Anticoagulants in Patients With Atrial Fibrillation and Extreme Obesity.,V Russo; D Cattaneo; L Giannetti; R Bottino; N Laezza; U Atripaldi; E Clementi,2021,DOACs; atrial fibrillation; obesity; pharmacokinetics,0.9962490200996399,,
13,26068927,The effect of rifampin on the pharmacokinetics of edoxaban in healthy adults.,J Mendell; S Chen; L He; M Desai; DA Parasramupria,2015,,0.9960843324661255,PMC4488474,"PK - Table 2, Table 3 | Study Population - Table 1"
14,29451685,"A quantitative LC/MSMS method for determination of edoxaban, a Xa inhibitor and its pharmacokinetic application in patients after total knee arthroplasty.",K Hanada; SI Matsumoto; S Shibata; H Matsubara; Y Tsukimura; H Takahashi,2018,edoxaban; human plasma; mass spectrophotometry; pharmacokinetics,0.9939751029014587,,
15,26597179,Pharmacokinetics and Pharmacodynamics of the Nonvitamin K Antagonist Oral Anticoagulant Edoxaban When Administered Alone or After Switching from Rivaroxaban or Dabigatran Etexilate in Healthy Subjects.,DA Parasrampuria; D Weilert; JF Maa; V Dishy; J Kochan; M Shi; KS Brown,2016,,0.9938862919807434,PMC4740573,
16,26951208,"Population Pharmacokinetics of Edoxaban in Patients with Non-Valvular Atrial Fibrillation in the ENGAGE AF-TIMI 48 Study, a Phase III Clinical Trial.",EH Krekels; R Niebecker; MO Karlsson; R Miller; T Shimizu; KE Karlsson; CT Ruff; US Simonsson; S Jönsson,2016,,0.9923905730247498,,
17,20534818,"Effects of food on the pharmacokinetics of edoxaban, an oral direct factor Xa inhibitor, in healthy volunteers.",J Mendell; M Tachibana; M Shi; S Kunitada,2011,,0.9922757744789124,,
18,30216091,"Pharmacokinetics of anticoagulants apixaban, dabigatran, edoxaban and rivaroxaban in elderly Japanese patients with atrial fibrillation treated in one general hospital.",M Yamazaki-Nishioka; M Kogiku; M Noda; S Endo; M Takekawa; H Kishi; M Ota; Y Notsu; M Shimizu; H Yamazaki,2019,Anticoagulants; insufficient dose; overdose; pharmacokinetic modeling; renal impairment,0.9907519817352295,,
19,26218447,Population pharmacokinetics of edoxaban in patients with symptomatic deep-vein thrombosis and/or pulmonary embolism--the Hokusai-VTE phase 3 study.,R Niebecker; S Jönsson; MO Karlsson; R Miller; J Nyberg; EH Krekels; US Simonsson,2015,deep-vein thrombosis; edoxaban; nonmem; population pharmacokinetics; pulmonary embolism,0.9901922941207886,PMC4693489,
20,25186833,Population pharmacokinetics and dose-exposure proportionality of edoxaban in healthy volunteers.,OQ Yin; R Miller,2014,,0.9853943586349487,,
21,31184800,Sustained safe and effective anticoagulation using Edoxaban via percutaneous endoscopic gastrostomy.,M Galli; D D'Amario; F Andreotti; I Porto; R Vergallo; M Sabatelli; S Lancellotti; E Meleo; R De Cristofaro; F Crea,2019,Amyotrophic lateral sclerosis; Atrial fibrillation; Edoxaban; Percutaneous endoscopic gastrostomy; Takotsubo syndrome,0.9810957312583923,PMC6676270,
22,22924409,"A randomized trial of the safety, pharmacokinetics and pharmacodynamics of edoxaban, an oral factor Xa inhibitor, following a switch from warfarin.",J Mendell; RJ Noveck; M Shi,2013,,0.9796572327613831,PMC3612715,
23,27121940,Bioavailability and Safety of the Factor Xa Inhibitor Edoxaban and the Effects of Quinidine in Healthy Subjects.,N Matsushima; F Lee; T Sato; D Weiss; J Mendell,2013,bioavailability; edoxaban; factor Xa; pharmacokinetics; quinidine,0.975340723991394,,
24,23615159,"The effects of the antiplatelet agents, aspirin and naproxen, on pharmacokinetics and pharmacodynamics of the anticoagulant edoxaban, a direct factor Xa inhibitor.",J Mendell; F Lee; S Chen; V Worland; M Shi; MM Samama,2013,,0.9737563133239746,,
25,32007354,Factor Xa inhibitors in clinical practice: Comparison of pharmacokinetic profiles.,E Goto; S Horinaka; T Ishimitsu; T Kato,2020,Apixaban; Atrial fibrillation; Edoxaban; Plasma concentration; Population pharmacokinetics; Rivaroxaban; Venous thromboembolism; anti-FXa activity,0.9729199409484863,,
26,33386292,Pharmacokinetics of edoxaban in EGFR-mutated non-small cell lung cancer patients with venous thromboembolism.,T Hotta; Y Tsubata; K Hamai; A Tanino; M Kobayashi; A Nakamura; J Sugisaka; M Hongoh; N Ishihara; N Ishikawa; M Yamasaki; K Fujitaka; T Kubota; N Nishimura; T Isobe,2021,Direct oral anticoagulant; EGFR-TKIs; Edoxaban; Pharmacokinetics; Venous thromboembolism,0.9727656841278076,,
