study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	0.0	hr	0.0					percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	0.5	hr	-12.95	-0.42	12.53			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	1.0	hr	-27.68	-16.63	11.05			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	1.5	hr	-13.68	5.47	19.15			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	2.0	hr	-12.21	5.47	17.68			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	2.5	hr	-11.47	1.79	13.260000000000002			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	3.0	hr	6.21	15.05	8.84			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	3.5	hr	5.47	18.74	13.27			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	4.0	hr	9.89	22.42	12.53			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	6.0	hr	13.58	26.84	13.26			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	8.0	hr	13.58	27.58	13.999999999999998			percent
Brown2015		cohort1	12.0	ED60, PCC25	ETP (change relative)		plasma	coagulation assay	ETP_ED60, PCC25	12.0	hr	15.79	26.11	10.32			percent
