study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	0.0	hr	0.0					sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	0.5	hr	8.66	10.25	1.59			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	1.0	hr	8.9	12.07	3.17			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	1.5	hr	7.93	14.03	6.1			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	2.0	hr	7.56	15.25	7.69			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	3.0	hr	6.71	13.91	7.2			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	4.0	hr	5.86	12.69	6.829999999999999			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	6.0	hr	5.25	11.47	6.220000000000001			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	8.0	hr	3.79	10.86	7.069999999999999			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	12.0	hr	2.57	10.13	7.56			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	24.0	hr	1.73	8.3	6.57			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	36.0	hr	1.26	5.74	4.48			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	48.0	hr	0.83	4.28	3.45			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	60.0	hr	0.55	2.95	2.4000000000000004			sec
Brown2015		cohort2	12.0	ED180, PCC25	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	72.0	hr	0.0					sec
Brown2015		cohort2	12.0	ED180, PCC50	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	0.0	hr	0.0					sec
Brown2015		cohort2	12.0	ED180, PCC50	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	0.5	hr	5.0	8.05	3.0500000000000007			sec
Brown2015		cohort2	12.0	ED180, PCC50	PT (change relative)		plasma	coagulation assay	PT_ED180, PCC25	1.0	hr	10.49	11.95	1.459999999999999			sec
