study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	0.0	hr	0.0					sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	0.5	hr	2.76	5.63	2.87			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	1.0	hr	6.32	8.39	2.0700000000000003			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	1.5	hr	5.97	9.08	3.1100000000000003			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	2.0	hr	5.05	8.27	3.22			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	3.0	hr	4.59	7.35	2.76			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	4.0	hr	3.9	6.55	2.65			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	6.0	hr	2.98	5.86	2.8800000000000003			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	8.0	hr	2.06	5.4	3.3400000000000003			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	12.0	hr	1.13	4.59	3.46			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	24.0	hr	0.42	3.55	3.13			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	36.0	hr	0.17	2.4	2.23			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	48.0	hr	0.1	1.25	1.15			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	60.0	hr	0.04	0.65	0.61			sec
Brown2015		cohort1	12.0	ED60	PT (change relative)		plasma	coagulation assay	PT_ED60	72.0	hr	0.0					sec
