study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Liu2022	fasting	32.0	test	cmax	edoxaban	plasma	LC MS/MS	NA	NA	261.2	25.2	NA	NA	NA	66.0	NA	ng/ml	NA
Liu2022	fasting	32.0	test	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1508.2	19.9	NA	NA	NA	300.7	NA	ng*hr/ml	NA
Liu2022	fasting	32.0	test	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1568.3	18.3	NA	NA	NA	287.8	NA	ng*hr/ml	NA
Liu2022	fasting	32.0	test	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	0.9	0.4	1.6	NA	NA	hr	NA
Liu2022	fasting	32.0	test	thalf	edoxaban	plasma	LC MS/MS	NA	NA	7.3	27.9	NA	NA	NA	2.0	NA	hr	NA
Liu2022	fed	32.0	ref	cmax	edoxaban	plasma	LC MS/MS	NA	NA	268.1	24.0	NA	NA	NA	64.2	NA	ng/ml	NA
Liu2022	fed	32.0	ref	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1570.7	18.5	NA	NA	NA	290.1	NA	ng*hr/ml	NA
Liu2022	fed	32.0	ref	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1623.9	17.4	NA	NA	NA	283.2	NA	ng*hr/ml	NA
Liu2022	fed	32.0	ref	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.1	0.5	2.1	NA	NA	hr	NA
Liu2022	fed	32.0	ref	thalf	edoxaban	plasma	LC MS/MS	NA	NA	7.2	36.7	NA	NA	NA	2.7	NA	hr	NA
Liu2022	fasting	32.0	test	cmax	edoxaban	plasma	LC MS/MS	NA	NA	312.0	23.9	NA	NA	NA	74.6	NA	ng/ml	NA
Liu2022	fasting	32.0	test	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1712.6	11.3	NA	NA	NA	193.0	NA	ng*hr/ml	NA
Liu2022	fasting	32.0	test	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1751.2	11.0	NA	NA	NA	192.7	NA	ng*hr/ml	NA
Liu2022	fasting	32.0	test	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.6	0.6	3.3	NA	NA	hr	NA
Liu2022	fasting	32.0	test	thalf	edoxaban	plasma	LC MS/MS	NA	NA	7.0	25.2	NA	NA	NA	1.8	NA	hr	NA
Liu2022	fed	32.0	ref	cmax	edoxaban	plasma	LC MS/MS	NA	NA	322.3	27.4	NA	NA	NA	88.5	NA	ng/ml	NA
Liu2022	fed	32.0	ref	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1715.3	12.8	NA	NA	NA	219.9	NA	ng*hr/ml	NA
Liu2022	fed	32.0	ref	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1756.7	12.1	NA	NA	NA	212.2	NA	ng*hr/ml	NA
Liu2022	fed	32.0	ref	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.9	0.5	4.0	NA	NA	hr	NA
Liu2022	fed	32.0	ref	thalf	edoxaban	plasma	LC MS/MS	NA	NA	6.7	27.0	NA	NA	NA	1.8	NA	hr	NA
