study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Parasrampuria2016	edo_ket	39.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	244.8	NA	NA	NA	NA	86.89	NA	ng/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.02	0.48	2.5	NA	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1652.0	NA	NA	NA	NA	412.1	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	11.86	NA	NA	NA	NA	4.11	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	38.9	NA	NA	NA	NA	11.37	NA	l/hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	cmax	edoxaban	plasma	LC MS/MS	NA	NA	440.6	NA	NA	NA	NA	121.35	NA	ng/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.51	0.98	4.0	NA	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	3001.0	NA	NA	NA	NA	617.5	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	thalf	edoxaban	plasma	LC MS/MS	NA	NA	12.27	NA	NA	NA	NA	3.67	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	20.8	NA	NA	NA	NA	4.18	NA	l/hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	19.1	NA	NA	NA	NA	9.82	NA	ng/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	2.0	0.98	4.1	NA	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	129.1	NA	NA	NA	NA	52.0	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	11.3	NA	NA	NA	NA	3.78	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	28.4	NA	NA	NA	NA	11.2	NA	ng/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	2.48	1.48	4.13	NA	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	188.8	NA	NA	NA	NA	65.7	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	11.1	NA	NA	NA	NA	4.7	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	cmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	7.6	NA	NA	NA	NA	3.39	NA	ng/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	tmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.5	1.48	6.0	NA	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	auc_inf	edoxaban-M1	plasma	LC MS/MS	NA	NA	65.5	NA	NA	NA	NA	20.6	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	thalf	edoxaban-M1	plasma	LC MS/MS	NA	NA	9.47	NA	NA	NA	NA	4.61	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	cmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	13.0	NA	NA	NA	NA	3.46	NA	ng/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	tmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.98	1.5	5.98	NA	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	auc_inf	edoxaban-M1	plasma	LC MS/MS	NA	NA	115.1	NA	NA	NA	NA	26.6	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	thalf	edoxaban-M1	plasma	LC MS/MS	NA	NA	9.14	NA	NA	NA	NA	3.25	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	cmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	7.6	NA	NA	NA	NA	3.61	NA	ng/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	tmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	NA	NA	1.5	0.48	6.0	NA	NA	hr	NA
Parasrampuria2016	edo_ket	39.0	ED60	auc_inf	edoxaban-M6	plasma	LC MS/MS	NA	NA	75.0	NA	NA	NA	NA	27.0	NA	ng*hr/ml	NA
Parasrampuria2016	edo_ket	39.0	ED60	thalf	edoxaban-M6	plasma	LC MS/MS	NA	NA	11.45	NA	NA	NA	NA	4.03	NA	hr	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	cmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	3.5	NA	NA	NA	NA	1.18	NA	ng/ml	NA
Parasrampuria2016	edo_ket	38.0	ED60, KET	tmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	NA	NA	2.74	1.48	5.98	NA	NA	hr	NA
