study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Chen2017a	all	12.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1987.0	NA	NA	NA	NA	369.0	NA	ng*hr/ml	NA
Chen2017a	all	12.0	ED60	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	30.6	NA	NA	NA	NA	5.5	NA	l/hr	NA
Chen2017a	all	12.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	301.0	NA	NA	NA	NA	64.0	NA	ng/mL	NA
Chen2017a	all	12.0	ED60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	1.8	NA	NA	NA	NA	0.6	NA	hr	NA
Chen2017a	all	12.0	ED60	vd	edoxaban	plasma	LC MS/MS	NA	NA	374.0	NA	NA	NA	NA	98.0	NA	l	NA
Chen2017a	all	12.0	ED60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	8.6	NA	NA	NA	NA	2.0	NA	hr	NA
Chen2017a	all	12.0	ED60_fast	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	2141.0	NA	NA	NA	NA	280.0	NA	ng*hr/ml	NA
Chen2017a	all	12.0	ED60_fast	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	27.6	NA	NA	NA	NA	3.7	NA	l/hr	NA
Chen2017a	all	12.0	ED60_fast	cmax	edoxaban	plasma	LC MS/MS	NA	NA	323.0	NA	NA	NA	NA	79.0	NA	ng/mL	NA
Chen2017a	all	12.0	ED60_fast	tmax	edoxaban	plasma	LC MS/MS	NA	NA	1.2	NA	NA	NA	NA	0.3	NA	hr	NA
Chen2017a	all	12.0	ED60_fast	vd	edoxaban	plasma	LC MS/MS	NA	NA	353.0	NA	NA	NA	NA	160.0	NA	l	NA
Chen2017a	all	12.0	ED60_fast	thalf	edoxaban	plasma	LC MS/MS	NA	NA	9.0	NA	NA	NA	NA	4.4	NA	hr	NA
Chen2017a	all	12.0	ED60	auc_end	edoxaban-M4	plasma	LC MS/MS	48.0	hr	178.0	NA	NA	NA	NA	52.0	NA	ng*hr/ml	NA
Chen2017a	all	12.0	ED60	oral clearance	edoxaban-M4	plasma	LC MS/MS	NA	NA	22.5	NA	NA	NA	NA	7.4	NA	l/hr	NA
Chen2017a	all	12.0	ED60	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	3.0	NA	NA	NA	NA	0.9	NA	ng/mL	NA
Chen2017a	all	12.0	ED60	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	9.1	NA	NA	NA	NA	1.7	NA	hr	NA
Chen2017a	all	12.0	ED60	vd	edoxaban-M4	plasma	LC MS/MS	NA	NA	0.1	NA	NA	NA	NA	0.03	NA	l	NA
Chen2017a	all	12.0	ED60	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	0.08	NA	NA	NA	NA	0.03	NA	hr	NA
Chen2017a	all	12.0	ED60_fast	auc_end	edoxaban-M4	plasma	LC MS/MS	48.0	hr	250.0	NA	NA	NA	NA	71.0	NA	ng*hr/ml	NA
Chen2017a	all	12.0	ED60_fast	oral clearance	edoxaban-M4	plasma	LC MS/MS	NA	NA	34.6	NA	NA	NA	NA	10.0	NA	l/hr	NA
Chen2017a	all	12.0	ED60_fast	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	2.0	NA	NA	NA	NA	0.5	NA	ng/mL	NA
Chen2017a	all	12.0	ED60_fast	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	9.2	NA	NA	NA	NA	4.2	NA	hr	NA
Chen2017a	all	12.0	ED60_fast	vd	edoxaban-M4	plasma	LC MS/MS	NA	NA	0.12	NA	NA	NA	NA	0.03	NA	l	NA
Chen2017a	all	12.0	ED60_fast	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	0.11	NA	NA	NA	NA	0.03	NA	hr	NA
