study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	0.5	hr	NA	18.53	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	1.0	hr	NA	25.72	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	1.5	hr	NA	23.86	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	2.0	hr	NA	28.79	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	2.5	hr	NA	26.78	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	3.0	hr	NA	27.41	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	3.5	hr	NA	25.56	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	4.0	hr	NA	25.97	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	4.5	hr	NA	26.38	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	5.0	hr	NA	26.82	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	6.0	hr	NA	23.11	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	8.0	hr	NA	20.28	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	12.0	hr	NA	11.8	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	16.0	hr	NA	11.1	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	24.0	hr	NA	10.3	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	36.0	hr	NA	9.0	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED10	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED10	48.0	hr	NA	8.8	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED30	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED30	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	fasted	NA
Ogata2010	NA	all	10.0	ED30	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED30	0.5	hr	NA	29.8	NA	NA	NA	ng/ml	fasted	NA
