study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Jonsson2015	healthy	8.0	ED15	cmax	edoxaban	plasma	LC MS/MS	72.0	hr	84.7	NA	NA	NA	NA	26.4	NA	ng/ml	NA
Jonsson2015	healthy	8.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	453.0	NA	NA	NA	NA	102.0	NA	ng*hr/ml	NA
Jonsson2015	healthy	8.0	ED15	clearance_renal	edoxaban	plasma	LC MS/MS	NA	NA	11.9	NA	NA	NA	NA	1.88	NA	l/hr	NA
Jonsson2015	healthy	8.0	ED15	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	34.6	NA	NA	NA	NA	7.32	NA	l/hr	NA
Jonsson2015	mildRI	8.0	ED15	cmax	edoxaban	plasma	LC MS/MS	72.0	hr	113.0	NA	NA	NA	NA	48.9	NA	ng/ml	NA
Jonsson2015	mildRI	8.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	636.0	NA	NA	NA	NA	152.0	NA	ng*hr/ml	NA
Jonsson2015	mildRI	8.0	ED15	clearance_renal	edoxaban	plasma	LC MS/MS	NA	NA	7.68	NA	NA	NA	NA	2.57	NA	l/hr	NA
Jonsson2015	mildRI	8.0	ED15	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	24.8	NA	NA	NA	NA	6.0	NA	l/hr	NA
Jonsson2015	moderateRI	8.0	ED15	cmax	edoxaban	plasma	LC MS/MS	72.0	hr	115.0	NA	NA	NA	NA	42.3	NA	ng/ml	NA
Jonsson2015	moderateRI	8.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	816.0	NA	NA	NA	NA	209.0	NA	ng*hr/ml	NA
Jonsson2015	moderateRI	8.0	ED15	clearance_renal	edoxaban	plasma	LC MS/MS	NA	NA	4.3	NA	NA	NA	NA	1.72	NA	l/hr	NA
Jonsson2015	moderateRI	8.0	ED15	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	19.4	NA	NA	NA	NA	4.69	NA	l/hr	NA
Jonsson2015	severeRI	8.0	ED15	cmax	edoxaban	plasma	LC MS/MS	72.0	hr	91.9	NA	NA	NA	NA	32.8	NA	ng/ml	NA
Jonsson2015	severeRI	8.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	857.0	NA	NA	NA	NA	199.0	NA	ng*hr/ml	NA
Jonsson2015	severeRI	8.0	ED15	clearance_renal	edoxaban	plasma	LC MS/MS	NA	NA	2.12	NA	NA	NA	NA	0.88	NA	l/hr	NA
Jonsson2015	severeRI	8.0	ED15	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	18.5	NA	NA	NA	NA	4.87	NA	l/hr	NA
