study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	lower_quartile	median	upper_quartile	min	max	unit	comments
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	0.0	hr	NA	NA	NA	11.3	12.5	13.0	10.0	14.1	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	2.0	hr	NA	NA	NA	12.0	13.5	15.0	12.0	17.0	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	4.0	hr	NA	NA	NA	12.8	14.1	14.5	12.0	16.0	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	24.0	hr	NA	NA	NA	11.2	12.5	13.0	11.0	14.1	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	48.0	hr	NA	NA	NA	11.2	12.5	13.0	11.0	13.0	sec	NA
Mendell2015	NA	mildHI	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_mildHI	72.0	hr	NA	NA	NA	11.3	12.4	13.0	10.0	14.1	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	0.0	hr	NA	NA	NA	NA	11.0	11.7	NA	11.9	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	2.0	hr	NA	NA	NA	12.0	12.5	13.0	11.0	13.0	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	4.0	hr	NA	NA	NA	12.0	NA	12.7	11.0	13.0	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	24.0	hr	NA	NA	NA	11.0	NA	12.0	9.9	NA	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	48.0	hr	NA	NA	NA	10.9	NA	11.7	9.9	12.0	sec	NA
Mendell2015	NA	healthyA	8.0	ED15	prothrombin time	NA	plasma	coagulation assay	PT_healthyA	72.0	hr	NA	NA	NA	11.0	NA	11.7	10.0	12.0	sec	NA
