study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2015	mildHI	8.0	ED15	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	4.4	NA	NA	NA	NA	1.5	NA	mg	NA
Mendell2015	mildHI	8.0	ED15	recovery	edoxaban	urine	LC MS/MS	72.0	hr	29.1	NA	NA	NA	NA	9.8	NA	percent	NA
Mendell2015	mildHI	8.0	ED15	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	9.2	NA	NA	NA	NA	3.0	NA	L/hr	NA
Mendell2015	healthyA	8.0	ED15	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	5.1	NA	NA	NA	NA	1.0	NA	mg	NA
Mendell2015	healthyA	8.0	ED15	recovery	edoxaban	urine	LC MS/MS	72.0	hr	33.8	NA	NA	NA	NA	6.7	NA	percent	NA
Mendell2015	healthyA	8.0	ED15	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	10.3	NA	NA	NA	NA	1.8	NA	L/hr	NA
Mendell2015	moderateHI	8.0	ED15	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	5.6	NA	NA	NA	NA	3.3	NA	mg	NA
Mendell2015	moderateHI	8.0	ED15	recovery	edoxaban	urine	LC MS/MS	72.0	hr	37.6	NA	NA	NA	NA	21.7	NA	percent	NA
Mendell2015	moderateHI	8.0	ED15	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	11.5	NA	NA	NA	NA	4.4	NA	L/hr	NA
Mendell2015	healthyB	8.0	ED15	cumulative amount	edoxaban	urine	LC MS/MS	72.0	hr	5.1	NA	NA	NA	NA	1.0	NA	mg	NA
Mendell2015	healthyB	8.0	ED15	recovery	edoxaban	urine	LC MS/MS	72.0	hr	34.3	NA	NA	NA	NA	6.7	NA	percent	NA
Mendell2015	healthyB	8.0	ED15	clearance_renal	edoxaban	urine	LC MS/MS	72.0	hr	10.8	NA	NA	NA	NA	2.5	NA	L/hr	NA
