study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	timeraw	comments
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	0.0	hr	NA	13.25	12.73	0.52	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	0.5	hr	NA	16.72	13.78	2.94	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	1.0	hr	NA	19.73	17.02	2.71	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	1.5	hr	NA	20.4	18.07	2.33	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	2.0	hr	NA	20.55	17.99	2.56	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	3.0	hr	NA	19.19	17.08	2.11	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	4.0	hr	NA	17.83	16.48	1.35	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	6.0	hr	NA	16.1	15.42	0.680000000000002	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	10.0	hr	NA	14.65	14.05	0.6	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	14.0	hr	NA	14.26	13.66	0.6	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	PT_ED60	24.0	hr	NA	13.71	13.25	0.460000000000001	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	72.0	hr	NA	13.86	14.38	0.520000000000001	NA	sec	0.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	72.5	hr	NA	17.24	20.1	2.86	NA	sec	0.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	73.0	hr	NA	19.95	22.66	2.71	NA	sec	1.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	73.5	hr	NA	20.93	23.56	2.63	NA	sec	1.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	74.0	hr	NA	20.78	23.26	2.48	NA	sec	2.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	75.0	hr	NA	19.8	21.75	1.95	NA	sec	3.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	76.0	hr	NA	18.81	20.62	1.81	NA	sec	4.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	78.0	hr	NA	17.45	18.73	1.28	NA	sec	6.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	82.0	hr	NA	15.48	16.08	0.599999999999998	NA	sec	10.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	86.0	hr	NA	14.72	15.32	0.6	NA	sec	14.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60	96.0	hr	NA	13.86	14.53	0.67	NA	sec	24.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	0.0	hr	NA	13.66	NA	NA	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	0.5	hr	NA	17.09	14.33	2.76	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	1.0	hr	NA	19.85	17.09	2.76	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	1.5	hr	NA	20.68	18.06	2.62	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	2.0	hr	NA	20.45	18.14	2.31	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	3.0	hr	NA	19.79	17.62	2.17	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	4.0	hr	NA	18.74	17.03	1.71	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	6.0	hr	NA	17.41	16.21	1.2	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	10.0	hr	NA	15.48	14.73	0.75	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	14.0	hr	NA	14.74	14.22	0.52	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	prothrombin time	NA	plasma	coagulation assay	PT_multiED60_2	24.0	hr	NA	13.95	13.51	0.44	NA	sec	NA	NA
Parasrampuria2016b	NA	all	24.0	multiRIV20, ED60	prothrombin time	NA	plasma	coagulation assay	PT_multiRIV20, ED60	72.0	hr	NA	13.73	NA	NA	NA	sec	0.0	NA
Parasrampuria2016b	NA	all	24.0	multiRIV20, ED60	prothrombin time	NA	plasma	coagulation assay	PT_multiRIV20, ED60	72.5	hr	NA	17.61	20.45	2.84	NA	sec	0.5	NA
Parasrampuria2016b	NA	all	24.0	multiRIV20, ED60	prothrombin time	NA	plasma	coagulation assay	PT_multiRIV20, ED60	73.0	hr	NA	20.82	23.66	2.84	NA	sec	1.0	NA
