study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	timeraw	comments
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	0.0	hr	NA	2.95	NA	NA	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	0.5	hr	NA	142.53	257.51	114.98	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	1.0	hr	NA	264.41	371.54	107.13	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	1.5	hr	NA	278.19	363.7	85.51	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	2.0	hr	NA	263.47	346.03	82.56	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	3.0	hr	NA	204.54	267.44	62.9	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	4.0	hr	NA	161.34	207.53	46.19	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	6.0	hr	NA	104.42	78.87	25.55	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	10.0	hr	NA	53.48	61.34	7.86000000000001	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	14.0	hr	NA	35.95	27.11	8.84	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	ED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_ED60	24.0	hr	NA	17.69	10.81	6.88	NA	ng/ml	NA	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	72.0	hr	NA	17.69	NA	NA	NA	ng/ml	0.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	72.5	hr	NA	152.35	268.33	115.98	NA	ng/ml	0.5	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	73.0	hr	NA	243.77	371.54	127.77	NA	ng/ml	1.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	73.5	hr	NA	266.4	163.21	103.19	NA	ng/ml	1.5	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	74.0	hr	NA	252.66	159.29	93.37	NA	ng/ml	2.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	75.0	hr	NA	218.3	284.15	65.85	NA	ng/ml	3.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	76.0	hr	NA	184.93	243.9	58.97	NA	ng/ml	4.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	78.0	hr	NA	127.03	161.43	34.4	NA	ng/ml	6.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	82.0	hr	NA	65.27	79.04	13.77	NA	ng/ml	10.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	86.0	hr	NA	41.85	49.72	7.87	NA	ng/ml	14.0	NA
Parasrampuria2016b	NA	all	24.0	multiED60	concentration	edoxaban	plasma	LC MS/MS	edoxaban_multiED60	96.0	hr	NA	18.67	NA	NA	NA	ng/ml	24.0	NA
