study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	timeraw	comments
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	0.0	hr	NA	26.95	NA	NA	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	0.5	hr	NA	32.34	34.04	1.7	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	1.0	hr	NA	34.04	30.92	3.12	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	1.5	hr	NA	34.89	31.77	3.12	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	2.0	hr	NA	34.61	32.06	2.55	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	3.0	hr	NA	33.48	36.03	2.55	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	4.0	hr	NA	32.06	30.35	1.71	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	6.0	hr	NA	30.64	29.22	1.42	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	10.0	hr	NA	29.5	31.21	1.71	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	14.0	hr	NA	28.65	30.35	1.7	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_ED60	24.0	hr	NA	28.09	30.07	1.98	NA	sec	NA	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	72.0	hr	NA	28.09	NA	NA	NA	sec	0.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	72.5	hr	NA	32.06	28.65	3.41	NA	sec	0.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	73.0	hr	NA	34.04	30.92	3.12	NA	sec	1.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	73.5	hr	NA	34.89	31.77	3.12	NA	sec	1.5	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	74.0	hr	NA	34.89	31.77	3.12	NA	sec	2.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	75.0	hr	NA	33.76	37.16	3.4	NA	sec	3.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	76.0	hr	NA	33.19	36.31	3.12	NA	sec	4.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	78.0	hr	NA	31.77	34.33	2.56	NA	sec	6.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	82.0	hr	NA	29.79	32.06	2.27	NA	sec	10.0	NA
Parasrampuria2016b	NA	all	23.0	multiED60	aPTT	NA	plasma	coagulation assay	aPTT_multiED60	86.0	hr	NA	28.94	31.77	2.83	NA	sec	14.0	NA
