study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	0.0	hr	0.0	NA	NA	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	0.5	hr	-12.95	-0.42	12.53	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	1.0	hr	-20.32	-10.0	10.32	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	1.5	hr	-21.79	5.47	27.259999999999998	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	2.0	hr	-19.58	-2.63	16.95	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	2.5	hr	-22.53	-6.32	16.21	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	3.0	hr	-24.0	-10.74	13.26	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	3.5	hr	-16.63	-7.79	8.84	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	4.0	hr	-16.63	-9.26	7.369999999999999	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	6.0	hr	-10.74	-4.84	5.9	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	8.0	hr	-7.79	3.26	11.05	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60	12.0	hr	-7.05	-0.42	6.63	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	0.0	hr	0.0	NA	NA	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	0.5	hr	-12.95	-0.42	12.53	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	1.0	hr	-27.68	-16.63	11.05	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	1.5	hr	-13.68	5.47	19.15	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	2.0	hr	-12.21	5.47	17.68	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	2.5	hr	-11.47	1.79	13.260000000000002	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	3.0	hr	6.21	15.05	8.84	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	3.5	hr	5.47	18.74	13.27	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	4.0	hr	9.89	22.42	12.530000000000001	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	6.0	hr	13.58	26.84	13.26	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	8.0	hr	13.58	27.58	13.999999999999998	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC25	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC25	12.0	hr	15.79	26.11	10.32	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	0.0	hr	0.0	NA	NA	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	0.5	hr	-12.21	4.74	16.950000000000003	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	1.0	hr	-18.84	5.47	24.31	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	1.5	hr	-12.21	20.21	32.42	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	2.0	hr	-9.26	17.26	26.520000000000003	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	2.5	hr	-4.84	9.16	14.0	NA	percent	NA
Brown2015	NA	cohort1	12.0	ED60, PCC50	ETP (change relative)	NA	plasma	coagulation assay	ETP_ED60, PCC50	3.0	hr	18.74	36.42	17.680000000000003	NA	percent	NA
