study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Chen2017b	all	12.0	ED30	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1230.0	NA	NA	NA	NA	113.0	NA	ng*hr/ml	NA
Chen2017b	all	12.0	ED30	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	1204.0	NA	NA	NA	NA	102.0	NA	ng*hr/ml	NA
Chen2017b	all	12.0	ED30	oral-clearance	edoxaban	plasma	LC MS/MS	NA	NA	24.6	NA	NA	NA	NA	2.2	NA	l/hr	NA
Chen2017b	all	12.0	ED30	cmax	edoxaban	plasma	LC MS/MS	NA	NA	198.0	NA	NA	NA	NA	41.0	NA	ng/mL	NA
Chen2017b	all	12.0	ED30	tmax	edoxaban	plasma	LC MS/MS	NA	NA	1.2	NA	NA	NA	NA	0.4	NA	hr	NA
Chen2017b	all	12.0	ED30	vd	edoxaban	plasma	LC MS/MS	NA	NA	303.0	NA	NA	NA	NA	122.0	NA	l	NA
Chen2017b	all	12.0	ED30	thalf	edoxaban	plasma	LC MS/MS	NA	NA	8.7	NA	NA	NA	NA	3.6	NA	hr	NA
Chen2017b	all	12.0	ED30	cumulative amount	edoxaban	urine	LC MS/MS	48.0	hr	12.1	NA	NA	NA	NA	2.1	NA	mg	NA
Chen2017b	all	12.0	ED30	clearance_renal	edoxaban	urine	LC MS/MS	48.0	hr	10.1	NA	NA	NA	NA	2.1	NA	l/hr	NA
Chen2017b	all	12.0	ED30	recovery	edoxaban	urine	LC MS/MS	48.0	hr	40.4	NA	NA	NA	NA	6.9	NA	percent	NA
Chen2017b	all	12.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2210.0	NA	NA	NA	NA	293.0	NA	ng*hr/ml	NA
Chen2017b	all	12.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	48.0	hr	2141.0	NA	NA	NA	NA	280.0	NA	ng*hr/ml	NA
Chen2017b	all	12.0	ED60	oral-clearance	edoxaban	plasma	LC MS/MS	NA	NA	27.6	NA	NA	NA	NA	3.7	NA	l/hr	NA
Chen2017b	all	12.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	323.0	NA	NA	NA	NA	79.0	NA	ng/mL	NA
Chen2017b	all	12.0	ED60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	1.21	NA	NA	NA	NA	0.33	NA	hr	NA
Chen2017b	all	12.0	ED60	vd	edoxaban	plasma	LC MS/MS	NA	NA	353.0	NA	NA	NA	NA	160.0	NA	l	NA
Chen2017b	all	12.0	ED60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	8.95	NA	NA	NA	NA	4.41	NA	hr	NA
Chen2017b	all	12.0	ED60	cumulative amount	edoxaban	urine	LC MS/MS	48.0	hr	20.5	NA	NA	NA	NA	4.3	NA	mg	NA
